Area,BHK,Bathroom,Furnishing,Locality,Parking,Price,Status,Transaction,Type,Per_Sqft
900,2,2,Furnished,Dilshad Garden,2,6900000,Ready_to_move,Resale,Builder_Floor,7666
400,1,1,Unfurnished,Dilshad Garden,1,3600000,Ready_to_move,Resale,Builder_Floor,7666
900,3,2,Semi-Furnished,Dilshad Garden,2,13500000,Ready_to_move,Resale,Apartment,7666
405,1,1,Unfurnished,Dilshad Garden,1,2500000,Ready_to_move,Resale,Apartment,9200
1076.39,3,2,Unfurnished,Dilshad Garden,10,9300000,Ready_to_move,Resale,Builder_Floor,8640
460,2,1,Unfurnished,Dilshad Garden,2,3300000,Ready_to_move,Resale,Builder_Floor,8640
370,1,1,Unfurnished,Dilshad Garden,2,2400000,Ready_to_move,Resale,Builder_Floor,6486
1800,3,3,Semi-Furnished,Dilshad Garden,1,15000000,Ready_to_move,New_Property,Builder_Floor,8333
900,3,2,Semi-Furnished,Dilshad Garden,1,4800000,Ready_to_move,Resale,Apartment,12000
800,2,2,Semi-Furnished,Dilshad Garden,1,7500000,Ready_to_move,Resale,Apartment,9375
500,1,1,Semi-Furnished,Dilshad Garden,1,2600000,Ready_to_move,Resale,Builder_Floor,5200
800,2,2,Unfurnished,Dilshad Garden,1,6000000,Ready_to_move,Resale,Builder_Floor,7500
1000,2,2,Semi-Furnished,Dilshad Garden,1,6700000,Ready_to_move,Resale,Apartment,6700
800,3,2,Semi-Furnished,Dilshad Garden,1,9030000,Ready_to_move,Resale,Apartment,9200
1080,3,1,Unfurnished,Dilshad Garden,1,7000000,Ready_to_move,New_Property,Apartment,8333
500,2,1,Furnished,Dilshad Garden,1,5800000,Ready_to_move,Resale,Apartment,12000
430.556,1,1,Unfurnished,Dilshad Garden,1,4300000,Ready_to_move,Resale,Apartment,9375
1450,2,2,Unfurnished,Dilshad Garden,1,7000000,Ready_to_move,Resale,Apartment,5200
540,2,2,Semi-Furnished,Dwarka,1,3000000,Ready_to_move,New_Property,Apartment,5000
540,2,2,Semi-Furnished,Dwarka,1,3000000,Ready_to_move,New_Property,Apartment,5000
540,2,2,Semi-Furnished,Dwarka,1,3000000,Ready_to_move,New_Property,Apartment,5000
1200,3,3,Semi-Furnished,Dwarka,1,15500000,Ready_to_move,Resale,Apartment,24718
1200,3,3,Semi-Furnished,Dwarka,1,15500000,Ready_to_move,Resale,Apartment,24718
850,2,1,Semi-Furnished,Dwarka,2,1900000,Ready_to_move,New_Property,Apartment,2235
1350,3,2,Unfurnished,Dwarka,1,5130000,Ready_to_move,New_Property,Apartment,3800
1387,4,4,Unfurnished,Dwarka,1,5890000,Ready_to_move,New_Property,Apartment,4247
1050,3,2,Unfurnished,Dwarka,1,3700000,Ready_to_move,New_Property,Apartment,3524
1500,3,2,Unfurnished,Dwarka,1,17400000,Ready_to_move,Resale,Apartment,3524
1200,3,3,Semi-Furnished,Dwarka,1,15500000,Ready_to_move,Resale,Apartment,3524
